Location,Site_Name,Latitude,Longitude,Solar_GW,Wind_GW,Battery_GWh,System_Capacity_Factor,LCOE_USD_per_MWh,Annual_Load_MWh,Energy_Served_MWh,Unmet_Load_MWh,Overproduction_MWh
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,5.00,0.00,9.00,0.0013,32112.64,8760000.00,11536.67,8748463.33,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,5.00,0.00,10.00,0.0014,30845.70,8760000.00,12011.01,8747988.99,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,5.00,0.00,11.00,0.0014,29675.01,8760000.00,12485.36,8747514.64,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,5.00,0.00,12.00,0.0015,28590.03,8760000.00,12959.70,8747040.30,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,5.00,0.00,13.00,0.0015,27581.68,8760000.00,13434.04,8746565.96,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,5.00,0.00,14.00,0.0016,26642.10,8760000.00,13908.38,8746091.62,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,5.00,0.00,15.00,0.0016,25764.50,8760000.00,14382.72,8745617.28,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,6.00,0.00,1.00,0.0010,48330.29,8760000.00,9195.46,8750804.54,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,6.00,0.00,2.00,0.0011,45961.08,8760000.00,9669.80,8750330.20,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,6.00,0.00,3.00,0.0012,43813.43,8760000.00,10144.14,8749855.86,0.00
